gene
mt-Nd3
mt-Tp
mt-Tn
mt-Atp6
mt-Co1
mt-Co2
mt-Tf
mt-Te
mt-Co3
mt-Tl2
mt-Tl1
mt-Tm
mt-Ti
mt-Rnr1
mt-Tw
mt-Ts2
mt-Tv
mt-Nd4
mt-Tc
mt-Nd1
mt-Ty
mt-Rnr2
mt-Ta
mt-Nd6
mt-Tt
mt-Nd2
mt-Cytb
mt-Tq
mt-Nd5
